iter	Passed	Remaining
0	9	9086
1	15	7974
2	18	6082
3	20	5158
4	23	4595
5	25	4222
6	27	3945
7	30	3763
8	32	3590
9	34	3456
10	37	3352
11	39	3258
12	41	3178
13	44	3101
14	46	3062
15	48	3007
16	51	2952
17	53	2911
18	55	2874
19	58	2848
20	60	2824
21	63	2803
22	65	2791
23	68	2784
24	71	2779
25	73	2760
26	76	2741
27	78	2731
28	81	2720
29	83	2707
30	86	2697
31	88	2681
32	90	2665
33	94	2670
34	97	2674
35	100	2681
36	102	2673
37	105	2659
38	107	2646
39	110	2640
40	112	2625
41	114	2613
42	116	2600
43	119	2585
44	121	2573
45	123	2564
46	126	2564
47	128	2554
48	131	2543
49	133	2531
50	135	2519
51	137	2506
52	139	2495
53	142	2489
54	144	2479
55	145	2455
56	147	2444
57	149	2433
58	152	2426
59	154	2416
60	156	2406
61	158	2398
62	160	2391
63	162	2383
64	165	2375
65	168	2379
66	170	2380
67	173	2378
68	175	2370
69	178	2367
70	180	2360
71	182	2353
72	184	2345
73	186	2337
74	189	2339
75	192	2339
76	194	2334
77	197	2332
78	199	2328
79	201	2321
80	203	2313
81	206	2310
82	208	2305
83	210	2298
84	212	2292
85	215	2290
86	218	2289
87	220	2285
88	222	2278
89	224	2272
90	226	2266
91	229	2261
92	231	2255
93	233	2248
94	235	2242
95	237	2240
96	240	2235
97	242	2230
98	244	2224
99	246	2220
100	248	2214
101	251	2210
102	253	2205
103	255	2200
104	258	2200
105	260	2198
106	262	2192
107	264	2187
108	267	2183
109	269	2180
110	271	2176
111	273	2171
112	276	2167
113	278	2162
114	280	2157
115	282	2152
116	285	2152
117	287	2149
118	289	2144
119	291	2139
120	293	2135
121	296	2131
122	298	2127
123	300	2124
124	302	2120
125	305	2117
126	307	2113
127	309	2109
128	311	2104
129	313	2100
130	316	2096
131	318	2095
132	320	2091
133	322	2087
134	325	2083
135	327	2079
136	329	2075
137	331	2071
138	334	2069
139	336	2065
140	338	2060
141	340	2056
142	342	2052
143	344	2048
144	347	2049
145	350	2049
146	353	2053
147	356	2052
148	359	2051
149	361	2049
150	363	2045
151	366	2044
152	368	2040
153	370	2036
154	372	2033
155	375	2029
156	377	2025
157	379	2022
158	382	2021
159	384	2018
160	386	2014
161	388	2010
162	391	2012
163	395	2013
164	398	2015
165	401	2018
166	404	2018
167	407	2019
168	411	2022
169	414	2026
170	418	2027
171	421	2028
172	424	2028
173	427	2028
174	430	2031
175	434	2032
176	437	2032
177	440	2033
178	443	2034
179	447	2036
180	450	2037
181	453	2039
182	457	2043
183	460	2044
184	464	2044
185	467	2045
186	470	2045
187	473	2045
188	476	2046
189	480	2046
190	483	2047
191	486	2047
192	489	2047
193	493	2048
194	496	2049
195	499	2048
196	502	2048
197	506	2049
198	509	2050
199	512	2048
200	515	2049
201	518	2048
202	521	2048
203	525	2051
204	529	2053
205	532	2052
206	535	2052
207	538	2050
208	541	2047
209	543	2043
210	545	2039
211	547	2035
212	549	2031
213	551	2026
214	554	2023
215	556	2020
216	558	2016
217	560	2012
218	563	2008
219	565	2004
220	567	1999
221	569	1995
222	571	1992
223	574	1989
224	576	1985
225	578	1981
226	580	1976
227	582	1973
228	585	1969
229	587	1965
230	589	1963
231	591	1959
232	594	1955
233	596	1951
234	598	1947
235	600	1944
236	602	1941
237	605	1939
238	608	1937
239	610	1934
240	613	1930
241	615	1926
242	617	1922
243	619	1919
244	622	1918
245	624	1915
246	626	1911
247	629	1907
248	631	1904
249	633	1901
250	636	1897
251	638	1896
252	641	1893
253	643	1890
254	645	1886
255	647	1882
256	650	1879
257	652	1877
258	655	1875
259	657	1872
260	660	1869
261	662	1865
262	664	1862
263	667	1860
264	670	1860
265	673	1858
